,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,52.27,93,75,9.22,AU,1651014725
1,Pechenga,69.5259,31.1703,18.43,69,100,24.27,RU,1651014726
2,Rikitea,-23.1203,-134.9692,78.22,69,100,20.49,PF,1651014217
3,Hermanus,-34.4187,19.2345,56.79,77,0,9.22,ZA,1651014646
4,Lavrentiya,65.5833,-171.0,25.86,83,50,3.67,RU,1651014727
5,Bungu,-7.6337,39.0582,67.8,97,100,3.78,TZ,1651014727
6,Busselton,-33.65,115.3333,55.11,89,40,7.07,AU,1651014728
7,Tavda,58.0425,65.2726,49.21,82,100,9.46,RU,1651014728
8,North Bend,43.4065,-124.2243,59.23,79,20,11.5,US,1651014571
9,Beyla,8.6833,-8.6333,75.27,59,100,4.5,GN,1651014728
10,Saskylakh,71.9167,114.0833,9.61,89,99,3.2,RU,1651014729
11,Barrow,71.2906,-156.7887,10.42,79,100,13.8,US,1651014657
12,Kilemary,56.7783,46.8659,48.33,97,100,3.6,RU,1651014729
13,Port Elizabeth,-33.918,25.5701,52.11,87,21,8.77,ZA,1651014729
14,Flin Flon,54.7682,-101.865,35.62,60,0,11.68,CA,1651014730
15,Arraial do Cabo,-22.9661,-42.0278,76.41,89,2,15.28,BR,1651014730
16,Codrington,-38.2667,141.9667,59.88,81,100,7.11,AU,1651014274
17,Vangaindrano,-23.35,47.6,73.42,90,99,13.35,MG,1651014130
18,Anchorage,61.2181,-149.9003,54.61,48,0,9.22,US,1651014472
19,Chik,54.9928,82.4311,29.95,74,9,2.24,RU,1651014730
20,Atuona,-9.8,-139.0333,78.87,76,17,20.54,PF,1651014101
21,Fort Nelson,58.8053,-122.7002,38.48,93,99,5.32,CA,1651014504
22,Tazmalt,36.3868,4.3989,61.57,72,99,5.06,DZ,1651014731
23,New Norfolk,-42.7826,147.0587,51.93,89,100,1.97,AU,1651014731
24,Sabang,5.8933,95.3214,84.09,75,100,10.09,ID,1651014732
25,Leningradskiy,69.3833,178.4167,17.31,84,60,12.06,RU,1651014732
26,Mahébourg,-20.4081,57.7,75.25,80,24,10.47,MU,1651014732
27,Tiksi,71.6872,128.8694,4.59,93,51,0.76,RU,1651014161
28,Cabo San Lucas,22.8909,-109.9124,89.62,55,0,8.7,MX,1651014001
29,Amahai,-3.3333,128.9167,80.76,79,90,1.99,ID,1651014180
30,Thompson,55.7435,-97.8558,36.64,59,6,7.2,CA,1651014545
31,Bluff,-46.6,168.3333,52.81,78,83,8.93,NZ,1651014733
32,Mataura,-46.1927,168.8643,52.48,97,96,2.86,NZ,1651014618
33,Yulara,-25.2406,130.9889,67.14,46,99,6.64,AU,1651014178
34,Tuktoyaktuk,69.4541,-133.0374,28.89,82,100,7.07,CA,1651014733
35,Sijunjung,-0.6876,100.9537,71.71,95,94,1.32,ID,1651014734
36,Ponta Delgada,37.7333,-25.6667,65.5,88,20,9.22,PT,1651014734
37,Aklavik,68.2191,-135.0107,31.15,90,79,6.91,CA,1651014734
38,Wum,6.3833,10.0667,67.26,88,100,3.6,CM,1651014735
39,Bambous Virieux,-20.3428,57.7575,75.22,80,30,10.09,MU,1651014735
40,Cape Town,-33.9258,18.4232,59.92,74,0,11.99,ZA,1651014658
41,Pyshchug,58.8873,45.7134,41.65,93,71,4.63,RU,1651014736
42,Weihe,32.9952,105.3247,57.25,95,75,0.58,CN,1651014736
43,Ennis,52.8436,-8.9864,51.73,71,0,5.75,IE,1651014461
44,Punta Arenas,-53.15,-70.9167,39.11,75,40,8.05,CL,1651014736
45,Ushuaia,-54.8,-68.3,38.86,87,75,11.5,AR,1651014736
46,Vaini,-21.2,-175.2,78.96,65,20,13.8,TO,1651014527
47,Ust'-Omchug,61.15,149.6333,17.33,81,100,6.71,RU,1651014737
48,Chapais,49.7834,-74.8492,29.21,85,100,7.49,CA,1651014071
49,Gemena,3.25,19.7667,68.9,94,99,3.53,CD,1651014737
50,Hong Kong,22.2855,114.1577,82.45,85,4,4.0,HK,1651014522
51,Kapaa,22.0752,-159.319,80.58,81,100,14.97,US,1651014543
52,Padang,-0.9492,100.3543,78.64,85,95,4.34,ID,1651014763
53,East London,-33.0153,27.9116,60.57,79,3,10.94,ZA,1651014654
54,St. George's,12.0564,-61.7485,78.24,82,99,8.08,GD,1651014763
55,Sai Buri,6.7013,101.6168,77.38,87,91,2.44,TH,1651014763
56,Port Blair,11.6667,92.75,80.64,89,75,2.3,IN,1651014430
57,Cherskiy,68.75,161.3,32.32,90,98,5.59,RU,1651014764
58,Mount Isa,-20.7333,139.5,73.17,73,75,8.05,AU,1651014579
59,Salalah,17.0151,54.0924,82.49,74,20,3.44,OM,1651014764
60,Bāli Chak,22.3667,87.55,81.21,72,16,10.36,IN,1651014764
61,Saint-Philippe,-21.3585,55.7679,72.99,83,39,7.99,RE,1651014648
62,Faanui,-16.4833,-151.75,82.58,72,22,18.32,PF,1651014649
63,Hithadhoo,-0.6,73.0833,84.63,72,97,6.91,MV,1651014765
64,Souillac,-20.5167,57.5167,74.48,84,26,9.55,MU,1651014173
65,Upernavik,72.7868,-56.1549,25.57,81,92,5.99,GL,1651014558
66,Albany,42.6001,-73.9662,52.63,89,100,1.99,US,1651014741
67,Budogoshch',59.2816,32.4707,35.94,92,96,6.44,RU,1651014766
68,Bredasdorp,-34.5322,20.0403,54.91,78,1,2.98,ZA,1651014766
69,Ribeira Grande,38.5167,-28.7,63.12,91,61,24.32,PT,1651014766
70,Hilo,19.7297,-155.09,85.28,84,75,14.97,US,1651014766
71,Ghorāwal,24.7667,82.7833,82.72,17,2,2.42,IN,1651014767
72,Lagos,6.5833,3.75,79.05,92,65,4.85,NG,1651014718
73,Lebu,-37.6167,-73.65,49.86,81,7,8.34,CL,1651014767
74,Raudeberg,61.9875,5.1352,39.87,74,100,21.97,NO,1651014176
75,Arica,-18.475,-70.3042,67.55,72,0,4.61,CL,1651014767
76,Statesboro,32.4488,-81.7832,76.78,61,40,3.44,US,1651014768
77,Key West,24.5557,-81.7826,82.4,68,0,12.66,US,1651014768
78,Clyde River,70.4692,-68.5914,7.03,92,40,11.5,CA,1651014726
79,Vendôme,47.8,1.0667,46.69,84,17,9.51,FR,1651014493
80,Sittwe,20.15,92.9,79.97,86,14,3.04,MM,1651014769
81,Ullapool,57.8987,-5.1604,43.36,75,54,6.22,GB,1651014769
82,Port-Gentil,-0.7193,8.7815,82.36,89,40,5.75,GA,1651014509
83,Sibolga,1.7427,98.7792,76.96,80,94,2.82,ID,1651014769
84,Saint Paul Harbor,57.79,-152.4072,51.31,50,100,8.05,US,1651014769
85,Constitución,-35.3333,-72.4167,51.19,86,34,3.0,CL,1651014484
86,Puerto Ayora,-0.7393,-90.3518,75.07,77,74,6.55,EC,1651014770
87,Kavieng,-2.5744,150.7967,84.6,73,5,14.63,PG,1651014201
88,Kayerkan,69.3497,87.7602,10.53,78,91,8.01,RU,1651014770
89,Mongo,12.1844,18.693,91.81,31,92,5.79,TD,1651014770
90,Port Alfred,-33.5906,26.891,57.18,91,14,1.01,ZA,1651014771
91,Beringovskiy,63.05,179.3167,32.32,99,100,8.14,RU,1651014192
92,Arrondissement de Mont-de-Marsan,44.0,-0.6667,62.08,67,0,2.3,FR,1651014771
93,Puerto Lempira,15.2667,-83.7667,73.54,88,75,5.75,HN,1651014771
94,Los Baños,14.1667,121.1833,84.69,79,54,7.65,PH,1651014772
95,Yangi Marg`ilon,40.4272,71.7189,65.12,63,100,9.22,UZ,1651014709
96,Roebourne,-20.7833,117.1333,77.74,60,100,8.75,AU,1651014772
97,Koslan,63.4564,48.8989,32.76,88,100,7.74,RU,1651014772
98,Port Hardy,50.6996,-127.4199,46.58,76,100,12.66,CA,1651014773
99,Tarakan,3.3,117.6333,76.5,94,75,5.03,ID,1651014773
100,Natá,8.3333,-80.5167,76.87,87,100,7.81,PA,1651014798
101,Shelburne,44.0787,-80.2041,40.77,91,100,8.63,CA,1651014798
102,Yellowknife,62.456,-114.3525,46.56,45,54,8.99,CA,1651014799
103,Bathsheba,13.2167,-59.5167,79.41,83,40,5.75,BB,1651014799
104,Birao,10.2849,22.7882,84.36,37,92,3.2,CF,1651014799
105,Bengkulu,-3.8004,102.2655,76.53,89,46,3.69,ID,1651014466
106,Americus,32.0724,-84.2327,78.93,57,100,8.05,US,1651014800
107,Deqing,30.5448,119.9599,66.94,84,93,3.44,CN,1651014800
108,Kloulklubed,7.0419,134.2556,73.9,91,100,12.53,PW,1651014800
109,Udachny,66.4167,112.4,14.94,95,71,3.38,RU,1651014801
110,Kapuskasing,49.4169,-82.4331,17.69,73,100,11.5,CA,1651014801
111,Jamestown,42.097,-79.2353,43.02,58,100,11.5,US,1651014656
112,Sarāhan,31.5167,77.8,52.47,41,0,8.99,IN,1651014801
113,Kruisfontein,-34.0033,24.7314,49.89,83,10,6.29,ZA,1651014802
114,Buraidah,26.326,43.975,72.18,53,3,8.77,SA,1651014503
115,Tautira,-17.7333,-149.15,81.01,74,34,22.17,PF,1651014802
116,Agadir,30.4202,-9.5982,63.05,65,0,3.62,MA,1651014802
117,Mahon,39.8885,4.2658,57.76,88,0,6.91,ES,1651014803
118,Nouadhibou,20.931,-17.0347,64.65,86,0,21.25,MR,1651014470
119,Tegul'det,57.3064,88.1667,29.17,98,99,1.88,RU,1651014803
120,Phonhong,18.5007,102.4166,77.54,73,14,2.19,LA,1651014803
121,Matara,5.9485,80.5353,78.15,87,64,1.41,LK,1651014804
122,Sola,-13.8833,167.55,82.22,72,99,17.69,VU,1651014804
123,Bunia,1.5667,30.25,62.11,97,92,1.99,CD,1651014804
124,Rivers,50.0308,-100.2403,31.01,79,11,13.11,CA,1651014805
125,Longyearbyen,78.2186,15.6401,1.24,78,75,11.5,SJ,1651014805
126,Klaksvík,62.2266,-6.589,36.52,67,97,5.06,FO,1651014710
127,Butaritari,3.0707,172.7902,81.05,83,46,18.45,KI,1651014578
128,Vila Franca do Campo,37.7167,-25.4333,65.19,91,39,8.75,PT,1651014805
129,Esperance,-33.8667,121.9,61.03,64,41,5.64,AU,1651014669
130,Berlevåg,70.8578,29.0864,17.4,70,100,32.26,NO,1651014806
131,Inhambane,-23.865,35.3833,71.4,70,78,11.34,MZ,1651014806
132,Saint George,37.1041,-113.5841,84.63,7,0,7.0,US,1651014806
133,São Filipe,14.8961,-24.4956,74.61,70,20,13.33,CV,1651014807
134,Freeport,40.6576,-73.5832,61.25,80,100,8.05,US,1651014632
135,San Cristobal,7.7669,-72.225,77.18,93,76,0.81,VE,1651014807
136,Carnarvon,-24.8667,113.6333,71.67,56,75,17.27,AU,1651014662
137,Ozernovskiy,51.5,156.5167,32.36,81,65,7.96,RU,1651014808
138,Ilulissat,69.2167,-51.1,35.62,80,100,4.61,GL,1651014554
139,Buala,-8.145,159.5921,84.15,71,91,5.14,SB,1651014808
140,Chokurdakh,70.6333,147.9167,11.98,93,100,8.32,RU,1651014808
141,Hua Hin,12.5707,99.9588,80.62,79,70,5.82,TH,1651014809
142,Cockburn Town,21.4612,-71.1419,76.69,68,1,17.92,TC,1651014809
143,Dębno,52.739,14.698,52.34,67,98,3.22,PL,1651014809
144,Tasiilaq,65.6145,-37.6368,32.16,95,91,4.03,GL,1651014660
145,Pangody,65.85,74.4859,28.09,87,100,22.62,RU,1651014433
146,Qaanaaq,77.484,-69.3632,13.21,75,67,5.88,GL,1651014773
147,Torbay,47.6666,-52.7314,37.27,93,100,10.0,CA,1651014810
148,Novoagansk,61.9449,76.6625,30.13,98,96,8.61,RU,1651014810
149,Salinópolis,-0.6136,-47.3561,78.94,83,99,10.29,BR,1651014810
150,Yeniseysk,58.4497,92.1703,25.03,95,100,2.71,RU,1651014836
151,Chernyshevskiy,63.0128,112.4714,20.5,86,67,3.33,RU,1651014836
152,Castro,-24.7911,-50.0119,64.18,92,30,4.92,BR,1651014778
153,Cap-aux-Meules,47.3821,-61.8597,44.65,76,100,13.8,CA,1651014836
154,Jizan,17.3333,42.6667,84.31,54,5,2.44,SA,1651014837
155,Ugoofaaru,5.6667,73.0,84.07,71,100,2.48,MV,1651014837
156,Hatten,53.0167,8.35,42.94,86,44,5.23,DE,1651014837
157,Faya,18.3851,42.4509,54.12,41,30,3.58,SA,1651014837
158,Dikson,73.5069,80.5464,3.58,96,94,8.81,RU,1651014640
159,Neepawa,50.2289,-99.4664,29.68,86,96,9.57,CA,1651014838
160,Brattleboro,42.8509,-72.5579,55.2,93,100,1.99,US,1651014838
161,Coyhaique,-45.5752,-72.0662,36.21,100,75,4.61,CL,1651014751
162,Cidreira,-30.1811,-50.2056,71.19,91,24,10.31,BR,1651014839
163,Tura,25.5198,90.2201,71.91,92,0,5.48,IN,1651014839
164,Itarema,-2.9248,-39.9167,76.44,90,83,9.44,BR,1651014319
165,Lander,42.833,-108.7307,66.6,22,0,23.02,US,1651014677
166,Buin,-33.7333,-70.75,55.44,90,100,5.55,CL,1651014840
167,Kāman,27.65,77.2667,84.96,14,0,1.74,IN,1651014840
168,Waingapu,-9.6567,120.2641,76.24,68,98,4.68,ID,1651014840
169,Fort Saint James,54.4333,-124.25,44.44,53,100,8.52,CA,1651014841
170,Sacama,-3.9,-79.2667,53.62,92,45,0.67,EC,1651014841
171,Oktyabr'skoye,43.0645,44.7417,50.14,93,48,2.24,RU,1651014841
172,San Quintín,30.4833,-115.95,67.71,60,97,13.15,MX,1651014843
173,Bandarbeyla,9.4942,50.8122,81.05,80,27,5.77,SO,1651014843
174,Suleja,9.1758,7.1808,84.15,49,97,2.66,NG,1651014843
175,Illapel,-31.6308,-71.1653,61.12,69,51,6.46,CL,1651014844
176,Opuwo,-18.0607,13.84,66.69,43,5,3.53,NA,1651014579
177,Antofagasta,-23.65,-70.4,63.68,86,98,6.29,CL,1651014429
178,Jutaí,-5.1833,-68.9,73.9,98,100,4.41,BR,1651014678
179,Srednekolymsk,67.45,153.6833,20.89,94,100,12.44,RU,1651014289
180,Alacranes,22.7675,-81.5675,79.29,59,48,12.62,CU,1651014845
181,Iquique,-20.2208,-70.1431,64.44,83,52,6.71,CL,1651014845
182,Zhuanghe,39.7008,122.9911,51.48,30,4,12.12,CN,1651014846
183,Ikom,5.9667,8.7063,76.17,92,100,3.04,NG,1651014846
184,Värnamo,57.186,14.04,44.28,82,84,4.16,SE,1651014847
185,Nikolskoye,59.7035,30.7861,37.87,86,89,6.22,RU,1651014836
186,Severo-Kuril'sk,50.6789,156.125,32.83,83,56,0.43,RU,1651014652
187,Ponta do Sol,32.6667,-17.1,61.72,68,16,3.8,PT,1651014847
188,Khandyga,62.6667,135.6,24.78,85,86,1.97,RU,1651014848
189,Nobeoka,32.5833,131.6667,71.49,94,98,1.79,JP,1651014848
190,Port Hedland,-20.3167,118.5667,77.05,50,40,8.05,AU,1651014848
191,Port Lincoln,-34.7333,135.8667,62.73,83,23,5.26,AU,1651014849
192,Laguna,38.421,-121.4238,81.14,38,0,5.75,US,1651014849
193,Bonavista,48.6499,-53.1147,34.2,93,73,4.79,CA,1651014849
194,Ixtapa,20.7,-105.2,86.31,42,1,6.71,MX,1651014850
195,Avarua,-21.2078,-159.775,84.25,74,20,8.05,CK,1651014659
196,Rocha,-34.4833,-54.3333,68.2,88,54,13.8,UY,1651014806
197,Cairns,-16.9167,145.7667,82.11,80,40,10.36,AU,1651014850
198,Copala,16.65,-98.9833,85.53,52,25,9.17,MX,1651014850
199,Lupiro,-8.3833,36.6667,69.98,98,100,0.94,TZ,1651014851
200,Mahon,39.8885,4.2658,57.76,88,0,6.91,ES,1651014876
201,George Town,5.4112,100.3354,80.53,83,20,3.44,MY,1651014762
202,Fukuechō,32.6881,128.8419,64.04,94,100,9.93,JP,1651014876
203,San Policarpo,12.1791,125.5072,80.98,85,100,9.86,PH,1651014877
204,Rosario,-32.9468,-60.6393,77.11,85,0,10.36,AR,1651014739
205,Ambilobe,-13.2,49.05,71.98,85,75,3.42,MG,1651014877
206,Vila Velha,-20.3297,-40.2925,76.95,93,20,4.61,BR,1651014877
207,Mogadishu,2.0371,45.3438,82.63,73,86,5.03,SO,1651014839
208,Boyolangu,-8.1181,111.8935,75.09,92,95,3.71,ID,1651014878
209,Vardø,70.3705,31.1107,21.54,74,100,32.64,NO,1651014878
210,Atambua,-9.1061,124.8925,74.34,77,79,2.28,ID,1651014878
211,Maceió,-9.6658,-35.7353,74.64,88,20,3.44,BR,1651014589
212,Nanortalik,60.1432,-45.2371,36.34,86,100,7.85,GL,1651014879
213,Khatanga,71.9667,102.5,14.36,91,100,8.39,RU,1651014847
214,Grindavik,63.8424,-22.4338,41.47,87,75,3.44,IS,1651014879
215,Nioro,13.35,-15.75,83.64,29,15,13.11,GM,1651014879
216,Chui,-33.6971,-53.4616,68.92,86,48,12.1,UY,1651014880
217,Hamilton,39.1834,-84.5333,56.98,47,0,10.36,US,1651014780
218,Dingle,10.9995,122.6711,79.5,86,100,7.61,PH,1651014880
219,Verkhnevilyuysk,63.4453,120.3167,23.9,81,42,2.13,RU,1651014880
220,Kumul,42.8,93.45,55.17,52,96,3.89,CN,1651014880
221,Champerico,14.3,-91.9167,90.14,64,18,10.67,GT,1651014544
222,Chulumani,-16.4096,-67.5263,66.34,93,58,2.3,BO,1651014881
223,Jinchang,38.4953,102.1739,47.75,27,100,19.26,CN,1651014543
224,Kaeo,-35.1,173.7833,65.32,75,15,4.36,NZ,1651014881
225,Abong Mbang,3.9833,13.1833,67.73,99,78,3.38,CM,1651014881
226,Vao,-22.6667,167.4833,74.46,59,100,16.53,NC,1651014856
227,Diffa,13.3154,12.6113,90.7,26,63,6.06,NE,1651014882
228,Palu,-0.8917,119.8707,76.87,91,100,2.77,ID,1651014882
229,Margate,51.3813,1.3862,47.88,77,56,4.0,GB,1651014883
230,Lompoc,34.6391,-120.4579,64.94,67,0,28.99,US,1651014883
231,Mar del Plata,-38.0023,-57.5575,64.42,100,100,13.0,AR,1651014883
232,Arkhara,49.4212,130.0842,33.94,76,67,18.43,RU,1651014883
233,San Lazaro,18.0387,-88.6622,84.54,61,42,11.72,BZ,1651014884
234,Punta Alta,-38.8759,-62.0736,62.76,72,57,9.69,AR,1651014884
235,Galesong,-5.3166,119.3661,77.02,81,100,5.48,ID,1651014884
236,Jhūsi,25.4333,81.9333,87.03,14,2,3.89,IN,1651014885
237,Thio,-21.6167,166.2167,78.76,61,92,10.87,NC,1651014885
238,Moussoro,13.6408,16.4901,94.08,24,89,5.77,TD,1651014885
239,Canutama,-6.5339,-64.3831,76.12,96,99,1.74,BR,1651014885
240,Sucre,-19.0333,-65.2627,64.38,39,29,1.25,BO,1651014886
241,Khuzhir,53.1939,107.3397,29.25,64,95,3.44,RU,1651014886
242,Lagoa,39.05,-27.9833,61.38,89,65,23.47,PT,1651014886
243,Revelstoke,50.9832,-118.2023,46.42,87,100,10.36,CA,1651014887
244,Kaitangata,-46.2817,169.8464,53.46,83,89,6.2,NZ,1651014209
245,Larap,14.299,122.6504,81.61,87,83,8.77,PH,1651014887
246,Winslow,35.0242,-110.6974,78.98,9,0,21.85,US,1651014832
247,Saravena,6.9538,-71.8752,75.92,87,99,3.49,CO,1651014887
248,Ahipara,-35.1667,173.1667,64.89,62,97,8.08,NZ,1651014888
249,Te Anau,-45.4167,167.7167,50.83,77,65,1.59,NZ,1651014666
250,Natitingou,10.3042,1.3796,86.31,36,83,3.87,BJ,1651014913
251,Coquimbo,-29.9533,-71.3436,60.53,82,0,3.44,CL,1651014847
252,Ancud,-41.8697,-73.8203,45.57,72,98,13.11,CL,1651014914
253,Saint Anthony,45.0205,-93.218,44.65,44,0,9.22,US,1651014914
254,Lake Charles,30.2131,-93.2044,78.78,47,0,12.66,US,1651014914
255,Newport,51.5877,-2.9984,51.69,72,100,9.93,GB,1651014508
256,Ouargaye,11.5033,0.0572,93.97,22,26,4.56,BF,1651014915
257,Pisco,-13.7,-76.2167,66.25,82,0,17.27,PE,1651014882
258,Okhotsk,59.3833,143.3,27.03,71,2,8.9,RU,1651014915
259,Dongning,44.0622,131.1207,47.26,32,3,24.74,CN,1651014916
260,Vestmannaeyjar,63.4427,-20.2734,46.0,79,100,4.7,IS,1651014914
261,Saldanha,-33.0117,17.9442,57.18,82,0,13.47,ZA,1651014916
262,Kedrovyy,56.1667,91.8167,34.21,89,95,6.06,RU,1651014917
263,Nuuk,64.1835,-51.7216,38.01,81,75,40.29,GL,1651014917
264,Isangel,-19.55,169.2667,78.58,60,91,17.85,VU,1651014917
265,Kieta,-6.2167,155.6333,84.31,69,43,2.77,PG,1651014918
266,Mackay,-21.15,149.2,78.67,84,13,14.38,AU,1651014694
267,Yumen,40.2833,97.2,44.29,24,100,0.6,CN,1651014918
268,Sawtell,-30.3833,153.1,69.82,83,91,2.3,AU,1651014918
269,Bontang,0.1333,117.5,77.2,87,100,4.56,ID,1651014919
270,Karaton,-6.3424,106.1045,75.33,93,99,1.72,ID,1651014325
271,Pedernales,18.0384,-71.744,79.72,68,80,1.43,DO,1651014919
272,Ostrovnoy,68.0531,39.5131,14.77,77,5,23.22,RU,1651014920
273,Necochea,-38.5473,-58.7368,66.92,90,99,10.18,AR,1651014920
274,Rio Grande,-32.035,-52.0986,70.95,89,60,17.45,BR,1651014887
275,Cayenne,4.9333,-52.3333,82.09,1,0,3.44,GF,1651014920
276,Havre-St-Pierre,50.2334,-63.5986,39.56,93,100,2.3,CA,1651014654
277,Olafsvik,64.8945,-23.7142,42.51,78,100,5.08,IS,1651014834
278,Henties Bay,-22.116,14.2845,63.55,69,1,4.85,NA,1651014921
279,Marsh Harbour,26.5412,-77.0636,74.75,69,0,10.47,BS,1651014705
280,Katsuura,35.1333,140.3,70.88,92,100,30.06,JP,1651014857
281,Palmer,42.1584,-72.3287,53.51,87,100,1.01,US,1651014921
282,Lodja,-3.4833,23.4333,67.3,99,99,2.3,CD,1651014921
283,Half Moon Bay,37.4636,-122.4286,70.05,62,0,29.93,US,1651014922
284,Alofi,-19.0595,-169.9187,76.89,22,100,3.44,NU,1651014922
285,Wanning,18.8003,110.3967,78.53,91,10,8.28,CN,1651014776
286,Maracaçumé,-2.0428,-45.9592,74.16,94,96,2.95,BR,1651014922
287,Ryōtsu-minato,38.0833,138.4333,53.42,77,100,5.23,JP,1651014923
288,San Patricio,28.017,-97.5169,76.89,70,100,10.09,US,1651014923
289,Mazagão,-0.115,-51.2894,84.25,95,91,3.83,BR,1651014923
290,Caravelas,-17.7125,-39.2481,75.76,81,0,5.3,BR,1651014922
291,Yārāda,17.65,83.2667,82.15,84,9,10.85,IN,1651014924
292,Dutse,11.7594,9.3392,85.44,15,95,7.58,NG,1651014924
293,Antsirabe,-19.85,47.0333,57.88,98,44,3.71,MG,1651014924
294,Kundiawa,-6.0167,144.9667,67.21,93,95,3.38,PG,1651014925
